addr,alcohol,ambience,applePay,attire,bikeParking,categories,caters,creditCard,delivery,driveThrough,fri,goodFor,goodForGroups,goodForKids,hasTV,id,mon,noiseLevel,outdoorSeating,parking,phone,price,rating,reservations,sat,sun,takeout,thu,title,tue,waiterService,wed,wifi,yelpPage
"The MissionSan Francisco, CA 94110",No,Divey,No,Casual,No,"Hot Dogs,Street Vendors",No,No,No,,,Late Night,Yes,Yes,No,56,,Average,Yes,Street,,Under $10,4.5 star rating,No,,,Yes,,Bacon Dog Cart,,No,,No,https://www.yelp.com/ /biz/bacon-dog-cart-san-francisco
"488 Haight StSan Francisco, CA 94117",No,Casual,No,Casual,Yes,"Breakfast & Brunch,Salvadoran,Mexican",Yes,Yes,No,,9:00 am-10:00 pm,"Breakfast, Brunch, Lunch, Dinner",Yes,Yes,Yes,57,10:00 am-9:00 pm,Quiet,No,Street,(415) 865-0522,Under $10,4.5 star rating,No,9:00 am-10:00 pm,9:00 am-9:00 pm,Yes,10:00 am-9:00 pm,Emanuel Coffee,10:00 am-9:00 pm,No,Closed,Free,https://www.yelp.com/ /biz/emanuel-coffee-san-francisco-4
"2663 Mission StSan Francisco, CA 94110",,,Yes,,Yes,Coffee & Tea,,Yes,,,7:00 am-7:00 pm,,,,,58,7:00 am-7:00 pm,,Yes,"Garage, Street",(415) 206-1238,Inexpensive,4.5 star rating,,8:00 am-7:00 pm,8:00 am-5:00 pm,Yes,7:00 am-7:00 pm,Grand Coffee,7:00 am-7:00 pm,,7:00 am-7:00 pm,No,https://www.yelp.com/ /biz/grand-coffee-san-francisco
,No,Casual,No,Casual,Yes,"Specialty Food,Delis,Sandwiches",No,Yes,No,,9:30 am-5:00 pm,Lunch,No,Yes,No,59,9:30 am-5:00 pm,Average,No,Street,(415) 285-0800,Under $10,4.5 star rating,No,8:00 am-5:00 pm,8:00 am-5:00 pm,Yes,9:30 am-5:00 pm,Paulie’s Pickling,Closed,No,9:30 am-5:00 pm,No,https://www.yelp.com/ /biz/paulies-pickling-san-francisco
"491 Bayshore BlvdSan Francisco, CA 94124",No,Divey,No,Casual,No,"Food Trucks,Mexican",Yes,Yes,No,,9:00 am-5:00 pm,Lunch,Yes,Yes,No,60,9:00 am-5:00 pm,Quiet,No,Street,(415) 275-1520,Under $10,5.0 star rating,No,9:00 am-5:00 pm,Closed,Yes,9:00 am-5:00 pm,San Pancho’s Tacos,9:00 am-5:00 pm,Yes,9:00 am-5:00 pm,No,https://www.yelp.com/ /biz/san-panchos-tacos-san-francisco
"2739 Geary StSan Francisco, CA 94118",No,Hipster,No,Casual,Yes,"Coffee & Tea,Middle Eastern,Sandwiches",Yes,Yes,Yes,,7:00 am-5:30 pm,"Breakfast, Lunch",Yes,Yes,No,61,7:00 am-5:30 pm,Quiet,No,Street,(415) 340-9765,Under $10,4.5 star rating,No,7:00 am-5:30 pm,8:00 am-5:30 pm,Yes,7:00 am-5:30 pm,Ro Cafe,7:00 am-5:30 pm,No,7:00 am-5:30 pm,Free,https://www.yelp.com/ /biz/ro-cafe-san-francisco-2
"San Francisco, CA 94110",No,,No,Casual,Yes,"Middle Eastern,Arabian,Street Vendors",Yes,Yes,No,,9:00 am-9:00 pm,Breakfast,Yes,Yes,No,62,Closed,Average,Yes,,(510) 852-9390,Under $10,4.5 star rating,No,8:00 am-2:00 pm,Closed,No,9:00 am-9:00 pm,Reem’s,Closed,No,Closed,No,https://www.yelp.com/ /biz/reems-san-francisco
"San Francisco, CA 94102",No,Casual,Yes,Casual,Yes,"Food Trucks,Taiwanese",Yes,No,No,,11:00 am-2:00 pm5:00 pm-9:00 pm,Lunch,Yes,Yes,No,63,11:00 am-2:00 pm5:00 pm-9:00 pm,Average,No,Street,(415) 813-8800,Under $10,4.0 star rating,No,11:00 am-2:00 pm5:00 pm-9:00 pm,11:00 am-2:00 pm5:00 pm-9:00 pm,Yes,11:00 am-2:00 pm5:00 pm-9:00 pm,The Chairman Truck,11:00 am-2:00 pm5:00 pm-9:00 pm,No,11:00 am-2:00 pm5:00 pm-9:00 pm,No,https://www.yelp.com/ /biz/the-chairman-truck-san-francisco
"136 Church StSan Francisco, CA 94114",Beer & Wine Only,Casual,No,Casual,Yes,Mexican,No,No,No,,10:00 am-12:30 am,"Lunch, Dinner",Yes,Yes,No,64,10:00 am-11:30 pm,Average,No,Street,(628) 400-5723,Under $10,4.0 star rating,No,10:00 am-12:30 am,10:00 am-11:30 pm,Yes,10:00 am-11:30 pm,El Castillito,10:00 am-11:30 pm,No,10:00 am-11:30 pm,No,https://www.yelp.com/ /biz/el-castillito-san-francisco-2
"1299 Sanchez StSan Francisco, CA 94114",,,Yes,,Yes,"Coffee & Tea,Laundromat",,Yes,,,7:00 am-11:00 pm,,,,,65,7:00 am-11:00 pm,,Yes,Street,(415) 695-2939,Inexpensive,4.5 star rating,,7:00 am-11:00 pm,7:00 am-11:00 pm,Yes,7:00 am-11:00 pm,Spin City Launderette &amp; Coffee Bar,7:00 am-11:00 pm,,7:00 am-11:00 pm,Free,https://www.yelp.com/ /biz/spin-city-launderette-and-coffee-bar-san-francisco
"205 A Frederick StSan Francisco, CA 94117",No,Casual,Yes,Casual,Yes,"Breakfast & Brunch,Cafes",Yes,Yes,No,,7:00 am-3:00 pm,"Breakfast, Lunch",No,Yes,No,66,7:00 am-3:00 pm,Average,No,Street,(415) 218-4347,Under $10,4.0 star rating,No,8:00 am-3:00 pm,8:00 am-3:00 pm,Yes,7:00 am-3:00 pm,Bacon Bacon,7:00 am-3:00 pm,No,7:00 am-3:00 pm,No,https://www.yelp.com/ /biz/bacon-bacon-san-francisco-5
"3100 Mission StSan Francisco, CA 94110",No,Casual,No,Casual,Yes,"Coffee & Tea,Sandwiches,Ice Cream & Frozen Yogurt",Yes,Yes,No,,6:30 am-6:00 pm,"Breakfast, Lunch",Yes,Yes,Yes,67,6:30 am-6:00 pm,Average,No,Street,(415) 821-3388,Under $10,4.5 star rating,No,7:00 am-6:00 pm,7:00 am-5:00 pm,Yes,6:30 am-6:00 pm,Sweet Chinito Coffee,6:30 am-6:00 pm,No,6:30 am-6:00 pm,Free,https://www.yelp.com/ /biz/sweet-chinito-coffee-san-francisco-2
"2916 24th StSan Francisco, CA 94110",No,Casual,No,Casual,Yes,Mexican,Yes,Yes,No,,6:00 am-7:30 pm,"Breakfast, Lunch",No,Yes,Yes,68,6:00 am-7:30 pm,Average,No,Street,(415) 826-1363,Under $10,4.5 star rating,No,6:00 am-7:30 pm,7:00 am-6:00 pm,Yes,6:00 am-7:30 pm,La Espiga De Oro,6:00 am-7:30 pm,No,6:00 am-7:30 pm,No,https://www.yelp.com/ /biz/la-espiga-de-oro-san-francisco
"1607 Haight StSan Francisco, CA 94117",No,Casual,No,Casual,Yes,Mexican,No,Yes,No,,11:00 am-10:00 pm,"Lunch, Dinner",Yes,Yes,Yes,69,11:00 am-10:00 pm,Average,No,Street,(415) 525-4435,Under $10,4.0 star rating,No,11:00 am-10:00 pm,11:00 am-10:00 pm,Yes,11:00 am-10:00 pm,Street Taco,11:00 am-10:00 pm,No,11:00 am-10:00 pm,No,https://www.yelp.com/ /biz/street-taco-san-francisco
"3188 Mission StSan Francisco, CA 94110",,,No,,Yes,"Coffee & Tea,Coffee Roasteries,Bakeries",,Yes,No,,7:30 am-5:00 pm,,,,,70,7:30 am-5:00 pm,,Yes,Street,(415) 525-3142,Inexpensive,4.5 star rating,,7:30 am-6:00 pm,7:30 am-6:00 pm,Yes,7:30 am-5:00 pm,Tierra Mia Coffee,7:30 am-5:00 pm,,7:30 am-5:00 pm,Free,https://www.yelp.com/ /biz/tierra-mia-coffee-san-francisco
"700 Haight StSan Francisco, CA 94117",Beer & Wine Only,Casual,No,Casual,Yes,"Mediterranean,Middle Eastern,Syrian",Yes,Yes,Yes,,10:00 am-10:00 pm,"Lunch, Dinner",Yes,Yes,Yes,71,10:00 am-10:00 pm,Average,No,Street,(415) 896-4172,Under $10,4.0 star rating,No,10:00 am-10:00 pm,12:00 pm-10:00 pm,Yes,10:00 am-10:00 pm,Palmyra,10:00 am-10:00 pm,No,10:00 am-10:00 pm,Free,https://www.yelp.com/ /biz/palmyra-san-francisco
"4763 Mission StSan Francisco, CA 94112",No,Casual,Yes,Casual,Yes,"Caterers,Sandwiches,Delis",,Yes,No,,8:30 am-5:00 pm,Lunch,Yes,Yes,Yes,72,8:30 am-5:00 pm,Quiet,No,Street,(415) 239-2555,Under $10,5.0 star rating,No,8:30 am-4:00 pm,Closed,Yes,8:30 am-5:00 pm,Calabria Bros,8:30 am-5:00 pm,No,8:30 am-5:00 pm,No,https://www.yelp.com/ /biz/calabria-bros-san-francisco-2
"2966 Mission StSan Francisco, CA 94110",No,Casual,Yes,Casual,Yes,"Cafes,Sandwiches,Vegetarian",Yes,Yes,Yes,,11:30 am-8:30 pm,Lunch,Yes,Yes,Yes,73,11:00 am-8:00 pm,Average,Yes,Street,(415) 814-3814,Under $10,4.5 star rating,No,11:30 am-8:30 pm,Closed,Yes,11:30 am-8:30 pm,Hot Press,11:30 am-8:30 pm,No,11:30 am-8:30 pm,Free,https://www.yelp.com/ /biz/hot-press-san-francisco-2
"250 Fillmore StSan Francisco, CA 94117",No,Casual,Yes,Casual,Yes,"Delis,Juice Bars & Smoothies,Sandwiches",Yes,Yes,No,,7:00 am-5:00 pm,Lunch,No,Yes,No,74,7:00 am-5:00 pm,Average,No,Street,(415) 553-6068,Under $10,4.0 star rating,No,8:00 am-5:00 pm,8:00 am-5:00 pm,Yes,7:00 am-5:00 pm,Estela’s Fresh Sandwiches,7:00 am-5:00 pm,No,7:00 am-5:00 pm,Free,https://www.yelp.com/ /biz/estelas-fresh-sandwiches-san-francisco
"2140 Market StSan Francisco, CA 94114",Full Bar,Divey,No,,Yes,Dive Bars,,No,,,11:00 am-2:00 am,,Yes,,Yes,75,11:00 am-2:00 am,Loud,Yes,Street,(415) 487-1313,Inexpensive,4.0 star rating,No,11:00 am-2:00 am,11:00 am-2:00 am,,11:00 am-2:00 am,Lucky 13,11:00 am-2:00 am,,11:00 am-2:00 am,,https://www.yelp.com/ /biz/lucky-13-san-francisco
"3349 20th StSan Francisco, CA 94110",Beer & Wine Only,Casual,No,,Yes,Pubs,,No,,,4:30 pm-2:00 am,,Yes,,Yes,76,4:30 pm-2:00 am,Average,No,Street,(415) 648-4104,Inexpensive,4.5 star rating,No,4:30 pm-2:00 am,4:00 pm-1:00 am,,4:30 pm-2:00 am,Shotwell’s,4:30 pm-2:00 am,,4:30 pm-2:00 am,,https://www.yelp.com/ /biz/shotwells-san-francisco
"3109 16th StSan Francisco, CA 94103",No,,No,Casual,Yes,Mediterranean,No,Yes,No,,11:00 am-12:00 am,Lunch,No,Yes,No,77,11:00 am-10:00 pm,Average,Yes,Street,(415) 252-7482,Under $10,4.0 star rating,No,11:00 am-12:00 am,11:00 am-10:00 pm,Yes,11:00 am-10:00 pm,Truly Mediterranean,11:00 am-10:00 pm,No,11:00 am-10:00 pm,No,https://www.yelp.com/ /biz/truly-mediterranean-san-francisco
"2889 Mission StSan Francisco, CA 94110",Beer & Wine Only,Casual,No,Casual,Yes,Mexican,No,No,No,,11:00 am-9:00 pm,"Lunch, Dinner",Yes,Yes,No,78,11:00 am-9:00 pm,Average,Yes,Street,(415) 285-7117,Under $10,4.0 star rating,No,11:00 am-9:00 pm,11:00 am-8:00 pm,Yes,11:00 am-9:00 pm,La Taqueria,11:00 am-9:00 pm,No,11:00 am-9:00 pm,No,https://www.yelp.com/ /biz/la-taqueria-san-francisco-2
"701 Guerrero StSan Francisco, CA 94110",Full Bar,Casual,,Casual,Yes,"Grocery,Delis,Sandwiches",No,Yes,No,,10:30 am-10:00 pm,Lunch,Yes,Yes,No,79,10:30 am-10:00 pm,Average,No,Street,(415) 647-2530,Under $10,4.5 star rating,No,10:30 am-10:00 pm,11:00 am-10:00 pm,Yes,10:30 am-10:00 pm,Guerrero Market &amp; Deli,10:30 am-10:00 pm,No,10:30 am-10:00 pm,No,https://www.yelp.com/ /biz/guerrero-market-and-deli-san-francisco
"289 8th StSan Francisco, CA 94103",No,Casual,No,,Yes,"Coffee & Tea,Adult Entertainment",No,Yes,,,8:00 am-10:00 pm,,Yes,,No,80,8:00 am-10:00 pm,Average,No,Street,(415) 503-0405,Inexpensive,4.5 star rating,,11:00 am-10:00 pm,11:00 am-10:00 pm,Yes,8:00 am-10:00 pm,Wicked Grounds,8:00 am-10:00 pm,,8:00 am-11:00 pm,Free,https://www.yelp.com/ /biz/wicked-grounds-san-francisco
"751 Diamond StSan Francisco, CA 94114",No,Casual,No,Casual,Yes,"Cafes,American (New)",No,Yes,No,,7:00 am-4:00 pm,"Breakfast, Brunch, Lunch",No,Yes,No,81,7:00 am-4:00 pm,Quiet,Yes,Street,(415) 655-3674,Under $10,4.5 star rating,No,7:00 am-4:00 pm,7:00 am-4:00 pm,Yes,7:00 am-4:00 pm,Diamond Cafe,7:00 am-4:00 pm,No,7:00 am-4:00 pm,Free,https://www.yelp.com/ /biz/diamond-cafe-san-francisco
"602 Eddy StSan Francisco, CA 94109",No,,No,Casual,Yes,"Vietnamese,Sandwiches",No,No,No,,7:00 am-6:00 pm,Lunch,No,Yes,No,82,7:00 am-6:00 pm,Average,No,Street,(415) 345-1878,Under $10,4.5 star rating,No,7:00 am-6:00 pm,7:00 am-6:00 pm,Yes,7:00 am-6:00 pm,L&amp;G Vietnamese Sandwich,7:00 am-6:00 pm,No,7:00 am-6:00 pm,No,https://www.yelp.com/ /biz/l-and-g-vietnamese-sandwich-san-francisco
"2222 Polk StSan Francisco, CA 94109",Full Bar,Casual,Yes,Casual,Yes,"Delis,Meat Shops,Sandwiches",Yes,Yes,Yes,,11:00 am-6:45 pm,Lunch,No,Yes,Yes,83,11:00 am-7:45 pm,Average,No,Street,(415) 776-3099,Under $10,4.5 star rating,No,11:00 am-6:45 pm,11:00 am-5:45 pm,Yes,11:00 am-7:45 pm,The Boy’s Deli,11:00 am-7:45 pm,No,11:00 am-7:45 pm,No,https://www.yelp.com/ /biz/the-boys-deli-san-francisco
"4076 18th StSan Francisco, CA 94114",No,Hipster,No,Casual,Yes,"Coffee & Tea,Cafes",No,Yes,No,,7:00 am-7:00 pm,Breakfast,No,No,No,84,7:00 am-7:00 pm,Average,Yes,Street,(415) 789-6258,Under $10,4.0 star rating,No,7:00 am-7:00 pm,7:00 am-7:00 pm,Yes,7:00 am-7:00 pm,Réveille Coffee Co.,7:00 am-7:00 pm,No,7:00 am-7:00 pm,Free,https://www.yelp.com/ /biz/r%C3%A9veille-coffee-co-san-francisco-6
"375 Valencia StSan Francisco, CA 94103",,,Yes,,Yes,Coffee & Tea,No,Yes,,,7:00 am-8:00 pm,,,,,85,7:00 am-8:00 pm,,Yes,Street,(415) 252-0800,Inexpensive,4.0 star rating,,7:00 am-8:00 pm,7:00 am-8:00 pm,Yes,7:00 am-8:00 pm,Four Barrel Coffee,7:00 am-8:00 pm,,7:00 am-8:00 pm,No,https://www.yelp.com/ /biz/four-barrel-coffee-san-francisco
"111 Richland AveSan Francisco, CA 94110",,,Yes,,Yes,"Coffee & Tea,Bagels,Juice Bars & Smoothies",No,Yes,,,5:30 am-6:30 pm,,,,,86,5:30 am-6:30 pm,,Yes,Street,(415) 970-9090,Inexpensive,4.5 star rating,,6:00 am-6:30 pm,7:00 am-4:00 pm,Yes,5:30 am-6:30 pm,Cafeto Coffee Shop,5:30 am-6:30 pm,,5:30 am-6:30 pm,Free,https://www.yelp.com/ /biz/cafeto-coffee-shop-san-francisco-2
"San Francisco, CA 94103",No,,,Casual,No,"Vegan,Bakeries,Cupcakes",Yes,No,Yes,,9:00 am-5:00 pm,"Breakfast, Dessert",Yes,Yes,No,87,9:00 am-5:00 pm,Average,Yes,,(415) 839-2138,Under $10,5.0 star rating,No,9:00 am-5:00 pm,9:00 am-5:00 pm,Yes,9:00 am-5:00 pm,Sweet Aha!,9:00 am-5:00 pm,No,9:00 am-5:00 pm,Paid,https://www.yelp.com/ /biz/sweet-aha-san-francisco-2
"1775 17th StSan Francisco, CA 94107",,,Yes,,Yes,Coffee & Tea,,Yes,,,6:00 am-6:00 pm,,,,,88,6:00 am-6:00 pm,,Yes,Street,(415) 814-8096,Inexpensive,4.5 star rating,,7:00 am-6:00 pm,7:00 am-6:00 pm,Yes,6:00 am-6:00 pm,Philz Coffee,6:00 am-6:00 pm,,6:00 am-6:00 pm,Free,https://www.yelp.com/ /biz/philz-coffee-san-francisco-22
"747 Irving StSan Francisco, CA 94122",No,Casual,No,Casual,Yes,"Diners,Korean,American (Traditional)",No,No,No,,7:00 am-2:30 pm,"Breakfast, Brunch",No,Yes,No,89,Closed,Average,No,Street,(415) 665-7440,Under $10,4.0 star rating,No,7:00 am-3:30 pm,7:30 am-3:00 pm,Yes,7:00 am-2:30 pm,Art’s Cafe,7:00 am-2:30 pm,Yes,7:00 am-2:30 pm,No,https://www.yelp.com/ /biz/arts-cafe-san-francisco
"508 Haight StSan Francisco, CA 94117",Beer & Wine Only,Casual,No,Casual,Yes,"Coffee & Tea,Sandwiches,Desserts",No,No,No,,7:00 am-9:00 pm,Breakfast,Yes,Yes,No,90,7:00 am-3:00 pm,Average,Yes,Street,(415) 552-7390,Under $10,4.0 star rating,No,7:30 am-9:00 pm,8:00 am-9:00 pm,Yes,7:00 am-9:00 pm,Cafe International,7:00 am-9:00 pm,No,7:00 am-9:00 pm,Free,https://www.yelp.com/ /biz/cafe-international-san-francisco
"132 6th StSan Francisco, CA 94103",No,Casual,Yes,Casual,Yes,"Bakeries,Kosher,Donuts",Yes,Yes,No,,8:00 am-2:30 pm,"Breakfast, Lunch",No,Yes,No,91,8:00 am-8:00 pm,Quiet,No,Street,(628) 444-3666,Under $10,4.5 star rating,No,Closed,8:00 am-8:00 pm,Yes,8:00 am-8:00 pm,Frena,8:00 am-8:00 pm,No,8:00 am-8:00 pm,No,https://www.yelp.com/ /biz/frena-san-francisco
"3033 24th StSan Francisco, CA 94110",Beer & Wine Only,Casual,No,Casual,Yes,Mexican,No,Yes,No,,8:00 am-3:30 am,"Lunch, Dinner, Late Night",Yes,Yes,Yes,92,8:00 am-1:00 am,Average,No,Street,(415) 826-8116,Under $10,4.0 star rating,No,8:00 am-3:30 am,8:00 am-1:00 am,Yes,8:00 am-1:00 am,Taqueria Vallarta,8:00 am-1:00 am,No,8:00 am-1:00 am,No,https://www.yelp.com/ /biz/taqueria-vallarta-san-francisco
"3988 18th StSan Francisco, CA 94114",Full Bar,Casual,,,Yes,"Gay Bars,Dive Bars,Pubs",,No,,,12:00 pm-2:00 am,,Yes,,Yes,93,12:00 pm-2:00 am,Average,No,Street,(415) 861-1310,Inexpensive,4.5 star rating,No,12:00 pm-2:00 am,12:00 pm-2:00 am,,12:00 pm-2:00 am,Last Call Bar,12:00 pm-2:00 am,,12:00 pm-2:00 am,,https://www.yelp.com/ /biz/last-call-bar-san-francisco-2
"1514 Union StSan Francisco, CA 94123",Beer & Wine Only,Casual,No,,Yes,Pubs,,No,,,2:00 pm-12:00 am,,No,,Yes,94,5:00 pm-12:00 am,Average,No,Street,(415) 928-2414,Inexpensive,4.5 star rating,No,11:00 am-12:00 am,11:00 am-12:00 am,,5:00 pm-12:00 am,The Black Horse London Pub,5:00 pm-12:00 am,,5:00 pm-12:00 am,,https://www.yelp.com/ /biz/the-black-horse-london-pub-san-francisco
"1671 Haight StSan Francisco, CA 94117",No,,No,Casual,Yes,Vietnamese,Yes,Yes,No,,11:00 am-6:00 pm,Lunch,No,Yes,No,95,11:00 am-6:00 pm,Average,No,Street,(415) 522-6689,Under $10,4.5 star rating,No,11:00 am-6:00 pm,11:00 am-5:00 pm,Yes,11:00 am-6:00 pm,DragonEats,11:00 am-6:00 pm,No,11:00 am-6:00 pm,No,https://www.yelp.com/ /biz/dragoneats-san-francisco-7
"1890 Bryant StSan Francisco, CA 94110",Beer & Wine Only,Hipster,No,Casual,Yes,"Coffee & Tea,Sandwiches",No,Yes,No,,7:00 am-5:00 pm,"Breakfast, Lunch",Yes,No,No,96,7:00 am-5:00 pm,Average,Yes,Street,(415) 551-8100,Under $10,4.0 star rating,No,8:00 am-5:00 pm,8:00 am-5:00 pm,Yes,7:00 am-5:00 pm,Coffee Bar,7:00 am-5:00 pm,No,7:00 am-5:00 pm,Free,https://www.yelp.com/ /biz/coffee-bar-san-francisco
"2175 Market StreetSan Francisco, CA 94114",No,,,Casual,Yes,"Juice Bars & Smoothies,Fruits & Veggies,Live/Raw Food",Yes,Yes,Yes,,8:30 am-5:00 pm,,Yes,Yes,Yes,97,8:30 am-5:00 pm,Average,Yes,,(415) 463-0623,Under $10,5.0 star rating,No,9:00 am-5:00 pm,9:00 am-5:00 pm,Yes,8:30 am-5:00 pm,RAW - A Juice Company,8:30 am-5:00 pm,No,8:30 am-5:00 pm,Free,https://www.yelp.com/ /biz/raw-a-juice-company-san-francisco-7
"553 Haight StSan Francisco, CA 94117",No,Casual,No,Casual,Yes,"Sandwiches,Vegan,Vegetarian",No,No,No,,11:30 am-2:00 am,Lunch,No,Yes,No,98,11:30 am-2:00 am,Quiet,No,Street,(415) 252-8190,Under $10,4.0 star rating,No,11:30 am-2:00 am,11:30 am-1:00 am,Yes,11:30 am-2:00 am,Love N Haight Deli,11:30 am-2:00 am,No,11:30 am-2:00 am,No,https://www.yelp.com/ /biz/love-n-haight-deli-san-francisco
"2969 24th StSan Francisco, CA 94110",No,Casual,No,Casual,Yes,"Mexican,Juice Bars & Smoothies,Sandwiches",No,Yes,No,,7:00 am-8:00 pm,Lunch,No,Yes,No,99,7:00 am-8:00 pm,Average,No,Street,(415) 824-4199,Under $10,4.5 star rating,No,7:00 am-8:00 pm,7:00 am-8:00 pm,Yes,7:00 am-8:00 pm,Tortas Los Picudos,7:00 am-8:00 pm,No,7:00 am-8:00 pm,No,https://www.yelp.com/ /biz/tortas-los-picudos-san-francisco
"670 Larkin StSan Francisco, CA 94109",No,Casual,No,Casual,No,Taiwanese,Yes,Yes,No,,11:30 am-9:00 pm,Lunch,No,Yes,No,100,11:30 am-9:00 pm,Average,No,Street,(415) 813-8800,Under $10,4.5 star rating,No,11:30 am-9:00 pm,11:30 am-7:00 pm,Yes,11:30 am-9:00 pm,The Chairman,11:30 am-9:00 pm,No,11:30 am-9:00 pm,No,https://www.yelp.com/ /biz/the-chairman-san-francisco-2
"1258 Minnesota StSan Francisco, CA 94107",,,Yes,,Yes,Coffee & Tea,No,Yes,,,6:00 am-6:00 pm,,,,,101,6:00 am-6:00 pm,,Yes,Street,(415) 423-1474,Inexpensive,4.5 star rating,,7:00 am-6:00 pm,7:00 am-6:00 pm,Yes,6:00 am-6:00 pm,Philz Coffee,6:00 am-6:00 pm,,6:00 am-6:00 pm,Free,https://www.yelp.com/ /biz/philz-coffee-san-francisco-16
"2288 Mission StSan Francisco, CA 94110",Beer & Wine Only,Casual,No,Casual,Yes,Mexican,No,No,No,,10:00 am-2:00 am,"Lunch, Dinner, Late Night",Yes,Yes,No,102,10:00 am-1:00 am,Average,No,Street,(415) 252-9560,Under $10,4.0 star rating,No,10:00 am-2:00 am,10:00 am-1:30 am,Yes,10:00 am-1:00 am,Taqueria Cancún,Closed,No,10:00 am-1:00 am,No,https://www.yelp.com/ /biz/taqueria-canc%C3%BAn-san-francisco-5
"809 Bush StSan Francisco, CA 94108",Beer & Wine Only,Casual,Yes,Casual,Yes,"Mexican,Korean,Latin American",No,Yes,No,,11:30 am-3:00 pm6:00 pm-9:00 pm,Lunch,No,Yes,Yes,103,11:30 am-3:00 pm6:00 pm-9:00 pm,Average,Yes,Street,(415) 885-1325,Under $10,4.5 star rating,No,11:30 am-3:00 pm6:00 pm-9:00 pm,Closed,Yes,11:30 am-3:00 pm6:00 pm-9:00 pm,Tacorea,11:30 am-3:00 pm6:00 pm-9:00 pm,No,11:30 am-3:00 pm6:00 pm-9:00 pm,Free,https://www.yelp.com/ /biz/tacorea-san-francisco
"402 Balboa StSan Francisco, CA 94118",No,"Casual, Trendy",Yes,Casual,Yes,"Cafes,Sandwiches",No,Yes,No,,8:00 am-7:00 pm,Lunch,No,Yes,No,104,8:00 am-7:00 pm,Quiet,No,,,Under $10,5.0 star rating,No,8:00 am-7:00 pm,Closed,Yes,8:00 am-7:00 pm,Cafe Sis,8:00 am-7:00 pm,No,8:00 am-7:00 pm,Free,https://www.yelp.com/ /biz/cafe-sis-san-francisco
"858 Rhode Island StSan Francisco, CA 94107",Beer & Wine Only,Casual,,Casual,Yes,"Grocery,Delis",No,Yes,No,,7:30 am-7:30 pm,Lunch,No,Yes,No,105,7:30 am-7:30 pm,Quiet,Yes,Street,(415) 824-2353,Under $10,4.5 star rating,No,8:30 am-7:30 pm,8:30 am-6:00 pm,Yes,7:30 am-7:00 pm,Chiotras Grocery,7:30 am-7:00 pm,No,7:30 am-7:00 pm,No,https://www.yelp.com/ /biz/chiotras-grocery-san-francisco
"3158 Mission StSan Francisco, CA 94110",Full Bar,Divey,No,,Yes,"Music Venues,Dive Bars",,No,,,1:00 pm-2:00 am,,Yes,No,No,106,1:00 pm-2:00 am,Loud,Yes,Street,(415) 282-3325,Inexpensive,4.0 star rating,No,1:00 pm-2:00 am,1:00 pm-2:00 am,,1:00 pm-2:00 am,El Rio,1:00 pm-2:00 am,,1:00 pm-2:00 am,,https://www.yelp.com/ /biz/el-rio-san-francisco
"1136 Valencia StSan Francisco, CA 94110",Beer & Wine Only,Casual,Yes,Casual,Yes,"Mediterranean,Sandwiches",Yes,Yes,No,,11:30 am-9:00 pm,Lunch,No,Yes,Yes,107,11:30 am-9:00 pm,Average,Yes,Street,(415) 824-1787,Under $10,4.0 star rating,No,11:30 am-9:00 pm,11:30 am-9:00 pm,Yes,11:30 am-9:00 pm,Zaytoon Mediterranean Wraps,11:30 am-9:00 pm,No,11:30 am-9:00 pm,No,https://www.yelp.com/ /biz/zaytoon-mediterranean-wraps-san-francisco
"3000 24th StSan Francisco, CA 94110",No,Casual,Yes,Casual,Yes,"Coffee & Tea,Cafes",No,Yes,No,,6:00 am-7:00 pm,"Breakfast, Lunch",Yes,Yes,Yes,108,6:00 am-7:00 pm,Quiet,No,Street,(415) 829-2822,Under $10,4.5 star rating,No,7:00 am-7:00 pm,7:00 am-7:00 pm,Yes,6:00 am-7:00 pm,Temo Cafe,6:00 am-7:00 pm,No,6:00 am-7:00 pm,Free,https://www.yelp.com/ /biz/temo-cafe-san-francisco
"557 Haight StSan Francisco, CA 94117",Beer & Wine Only,Divey,No,,Yes,Lounges,,Yes,,,5:00 pm-2:00 am,,Yes,,No,109,5:00 pm-2:00 am,Average,No,Street,(415) 861-5811,Inexpensive,4.0 star rating,No,3:00 pm-2:00 am,3:00 pm-2:00 am,,5:00 pm-2:00 am,Noc Noc,5:00 pm-2:00 am,,5:00 pm-2:00 am,,https://www.yelp.com/ /biz/noc-noc-san-francisco
"535 Scott StSan Francisco, CA 94117",Beer & Wine Only,Casual,No,Casual,No,"Grocery,Sandwiches,Delis",No,Yes,No,,8:00 am-10:00 pm,Lunch,No,Yes,No,110,8:00 am-9:00 pm,Quiet,Yes,Street,(415) 861-7120,Under $10,4.5 star rating,No,9:00 am-10:00 pm,9:00 am-9:00 pm,Yes,8:00 am-9:00 pm,Alamo Square Market &amp; Deli,8:00 am-9:00 pm,No,8:00 am-9:00 pm,No,https://www.yelp.com/ /biz/alamo-square-market-and-deli-san-francisco-2
